group	level	cvar	value	source
CloudQuality	Cine	r.VolumetricCloud.ShadowMap.RaySampleMaxCount	128	game
CloudQuality	Cine	r.VolumetricCloud.SkyAO	1	game
CloudQuality	Cine	r.VolumetricCloud.SkyAO.Filtering	1	game
CloudQuality	Cine	r.VolumetricCloud.ViewRaySampleMaxCount	768	game
EffectsQuality	0	fx.Niagara.QualityLevel	0	engine
EffectsQuality	0	r.DetailMode	0	engine
EffectsQuality	0	r.EmitterSpawnRateScale	0.125	engine
EffectsQuality	0	r.HeterogeneousVolumes	0	engine
EffectsQuality	0	r.MaterialQualityLevel	0 ; Low quality	engine
EffectsQuality	0	r.ParticleLightQuality	0	engine
EffectsQuality	0	r.RefractionQuality	0	game
EffectsQuality	0	r.SSGI.Quality	0	engine
EffectsQuality	0	r.SSR.Quality	0	game
EffectsQuality	0	r.SSS.HalfRes	1	engine
EffectsQuality	0	r.SSS.Quality	0	engine
EffectsQuality	0	r.SSS.SampleSet	0	engine
EffectsQuality	0	r.SSS.Scale	0	engine
EffectsQuality	0	r.SceneColorFormat	3	engine
EffectsQuality	0	r.SkyAtmosphere.AerialPerspectiveLUT.DepthResolution	8.0	engine
EffectsQuality	0	r.SkyAtmosphere.AerialPerspectiveLUT.FastApplyOnOpaque	1 ; Always have FastSkyLUT 1 in this case to avoid wrong sky	engine
EffectsQuality	0	r.SkyAtmosphere.AerialPerspectiveLUT.SampleCountMaxPerSlice	1	engine
EffectsQuality	0	r.SkyAtmosphere.FastSkyLUT	1	engine
EffectsQuality	0	r.SkyAtmosphere.FastSkyLUT.SampleCountMax	16.0	engine
EffectsQuality	0	r.SkyAtmosphere.FastSkyLUT.SampleCountMin	2.0	engine
EffectsQuality	0	r.SkyAtmosphere.MultiScatteringLUT.SampleCount	15.0	engine
EffectsQuality	0	r.SkyAtmosphere.SampleCountMax	16.0	engine
EffectsQuality	0	r.SkyAtmosphere.SampleCountMin	2.0	engine
EffectsQuality	0	r.SkyAtmosphere.TransmittanceLUT.SampleCount	10.0	engine
EffectsQuality	0	r.SkyAtmosphere.TransmittanceLUT.UseSmallFormat	1	engine
EffectsQuality	0	r.SkyLight.RealTimeReflectionCapture	1	game
EffectsQuality	0	r.TranslucencyLightingVolumeDim	24	engine
EffectsQuality	0	r.TranslucencyVolumeBlur	0	engine
EffectsQuality	1	fx.Niagara.QualityLevel	1	engine
EffectsQuality	1	r.DetailMode	1	engine
EffectsQuality	1	r.EmitterSpawnRateScale	0.25	engine
EffectsQuality	1	r.HeterogeneousVolumes	0	engine
EffectsQuality	1	r.MaterialQualityLevel	2 ; Medium quality	engine
EffectsQuality	1	r.ParticleLightQuality	0	engine
EffectsQuality	1	r.RefractionQuality	1	game
EffectsQuality	1	r.SSGI.Quality	1	engine
EffectsQuality	1	r.SSR.HalfResSceneColor	1	game
EffectsQuality	1	r.SSR.Quality	1	game
EffectsQuality	1	r.SSS.HalfRes	1	engine
EffectsQuality	1	r.SSS.Quality	0	engine
EffectsQuality	1	r.SSS.SampleSet	0	engine
EffectsQuality	1	r.SSS.Scale	0.75	engine
EffectsQuality	1	r.SceneColorFormat	3	engine
EffectsQuality	1	r.SkyAtmosphere.AerialPerspectiveLUT.DepthResolution	16.0	engine
EffectsQuality	1	r.SkyAtmosphere.AerialPerspectiveLUT.FastApplyOnOpaque	1 ; Always have FastSkyLUT 1 in this case to avoid wrong sky	engine
EffectsQuality	1	r.SkyAtmosphere.AerialPerspectiveLUT.SampleCountMaxPerSlice	1	engine
EffectsQuality	1	r.SkyAtmosphere.FastSkyLUT	1	engine
EffectsQuality	1	r.SkyAtmosphere.FastSkyLUT.SampleCountMax	32.0	engine
EffectsQuality	1	r.SkyAtmosphere.FastSkyLUT.SampleCountMin	4.0	engine
EffectsQuality	1	r.SkyAtmosphere.MultiScatteringLUT.SampleCount	15.0	engine
EffectsQuality	1	r.SkyAtmosphere.SampleCountMax	32.0	engine
EffectsQuality	1	r.SkyAtmosphere.SampleCountMin	4.0	engine
EffectsQuality	1	r.SkyAtmosphere.TransmittanceLUT.SampleCount	10.0	engine
EffectsQuality	1	r.SkyAtmosphere.TransmittanceLUT.UseSmallFormat	0	engine
EffectsQuality	1	r.SkyLight.RealTimeReflectionCapture	1	game
EffectsQuality	1	r.TranslucencyLightingVolumeDim	32	engine
EffectsQuality	1	r.TranslucencyVolumeBlur	0	engine
EffectsQuality	2	fx.Niagara.QualityLevel	2	engine
EffectsQuality	2	r.DetailMode	1	engine
EffectsQuality	2	r.EmitterSpawnRateScale	0.5	engine
EffectsQuality	2	r.HeterogeneousVolumes.DownsampleFactor	2	engine
EffectsQuality	2	r.HeterogeneousVolumes.MaxStepCount	96	engine
EffectsQuality	2	r.HeterogeneousVolumes.Shadows.Resolution	256	engine
EffectsQuality	2	r.MaterialQualityLevel	1 ; High quality	engine
EffectsQuality	2	r.ParticleLightQuality	1	engine
EffectsQuality	2	r.RefractionQuality	2	game
EffectsQuality	2	r.SSGI.Quality	2	engine
EffectsQuality	2	r.SSR.HalfResSceneColor	1	game
EffectsQuality	2	r.SSR.Quality	2	game
EffectsQuality	2	r.SSS.HalfRes	1	engine
EffectsQuality	2	r.SSS.Quality	-1	engine
EffectsQuality	2	r.SSS.SampleSet	1	engine
EffectsQuality	2	r.SSS.Scale	1	engine
EffectsQuality	2	r.SceneColorFormat	3	engine
EffectsQuality	2	r.SkyAtmosphere.AerialPerspectiveLUT.DepthResolution	16.0	engine
EffectsQuality	2	r.SkyAtmosphere.AerialPerspectiveLUT.FastApplyOnOpaque	1 ; Always have FastSkyLUT 1 in this case to avoid wrong sky	engine
EffectsQuality	2	r.SkyAtmosphere.AerialPerspectiveLUT.SampleCountMaxPerSlice	1	game
EffectsQuality	2	r.SkyAtmosphere.FastSkyLUT	1	engine
EffectsQuality	2	r.SkyAtmosphere.FastSkyLUT.SampleCountMax	32.0	game
EffectsQuality	2	r.SkyAtmosphere.FastSkyLUT.SampleCountMin	4.0	engine
EffectsQuality	2	r.SkyAtmosphere.MultiScatteringLUT.SampleCount	15.0	engine
EffectsQuality	2	r.SkyAtmosphere.SampleCountMax	32.0	game
EffectsQuality	2	r.SkyAtmosphere.SampleCountMin	4.0	engine
EffectsQuality	2	r.SkyAtmosphere.TransmittanceLUT.SampleCount	10.0	engine
EffectsQuality	2	r.SkyAtmosphere.TransmittanceLUT.UseSmallFormat	0	engine
EffectsQuality	2	r.SkyLight.RealTimeReflectionCapture	1	game
EffectsQuality	2	r.TranslucencyLightingVolumeDim	48	engine
EffectsQuality	2	r.TranslucencyVolumeBlur	1	engine
EffectsQuality	3	fx.Niagara.QualityLevel	3	engine
EffectsQuality	3	r.DetailMode	3	engine
EffectsQuality	3	r.EmitterSpawnRateScale	1.0	engine
EffectsQuality	3	r.HeterogeneousVolumes.DownsampleFactor	2	engine
EffectsQuality	3	r.HeterogeneousVolumes.MaxStepCount	256	engine
EffectsQuality	3	r.HeterogeneousVolumes.Shadows.MaxSampleCount	8	engine
EffectsQuality	3	r.HeterogeneousVolumes.Shadows.Resolution	256	engine
EffectsQuality	3	r.HeterogeneousVolumes.UseExistenceMask	0	engine
EffectsQuality	3	r.MaterialQualityLevel	1 ; High quality	engine
EffectsQuality	3	r.ParticleLightQuality	2	engine
EffectsQuality	3	r.Refraction.OffsetQuality	1	engine
EffectsQuality	3	r.RefractionQuality	2	game
EffectsQuality	3	r.SSGI.Quality	3	engine
EffectsQuality	3	r.SSR.HalfResSceneColor	1	game
EffectsQuality	3	r.SSR.Quality	3	game
EffectsQuality	3	r.SSS.HalfRes	0	engine
EffectsQuality	3	r.SSS.Quality	1	engine
EffectsQuality	3	r.SSS.SampleSet	2	engine
EffectsQuality	3	r.SSS.Scale	1	engine
EffectsQuality	3	r.SceneColorFormat	4	engine
EffectsQuality	3	r.SkyAtmosphere.AerialPerspectiveLUT.DepthResolution	16.0	engine
EffectsQuality	3	r.SkyAtmosphere.AerialPerspectiveLUT.FastApplyOnOpaque	1 ; Always have FastSkyLUT 1 in this case to avoid wrong sky	engine
EffectsQuality	3	r.SkyAtmosphere.AerialPerspectiveLUT.SampleCountMaxPerSlice	1	game
EffectsQuality	3	r.SkyAtmosphere.FastSkyLUT	1	engine
EffectsQuality	3	r.SkyAtmosphere.FastSkyLUT.SampleCountMax	32.0	game
EffectsQuality	3	r.SkyAtmosphere.FastSkyLUT.SampleCountMin	4.0	engine
EffectsQuality	3	r.SkyAtmosphere.MultiScatteringLUT.SampleCount	15.0	engine
EffectsQuality	3	r.SkyAtmosphere.SampleCountMax	32.0	game
EffectsQuality	3	r.SkyAtmosphere.SampleCountMin	4.0	engine
EffectsQuality	3	r.SkyAtmosphere.TransmittanceLUT.SampleCount	10.0	engine
EffectsQuality	3	r.SkyAtmosphere.TransmittanceLUT.UseSmallFormat	0	engine
EffectsQuality	3	r.SkyLight.RealTimeReflectionCapture	1	game
EffectsQuality	3	r.TranslucencyLightingVolumeDim	64	engine
EffectsQuality	3	r.TranslucencyVolumeBlur	1	engine
EffectsQuality	Cine	fx.Niagara.QualityLevel	4	engine
EffectsQuality	Cine	r.DetailMode	3	engine
EffectsQuality	Cine	r.EmitterSpawnRateScale	1.0	engine
EffectsQuality	Cine	r.HeterogeneousVolumes.ApplyFogInscattering	1	engine
EffectsQuality	Cine	r.HeterogeneousVolumes.DownsampleFactor	1	engine
EffectsQuality	Cine	r.HeterogeneousVolumes.MaxStepCount	1024	engine
EffectsQuality	Cine	r.HeterogeneousVolumes.Shadows.MaxSampleCount	16	engine
EffectsQuality	Cine	r.HeterogeneousVolumes.Shadows.Resolution	1024	engine
EffectsQuality	Cine	r.HeterogeneousVolumes.UseExistenceMask	1	engine
EffectsQuality	Cine	r.MaterialQualityLevel	1 ; High quality	engine
EffectsQuality	Cine	r.ParticleLightQuality	2	engine
EffectsQuality	Cine	r.Refraction.OffsetQuality	1	engine
EffectsQuality	Cine	r.RefractionQuality	2	engine
EffectsQuality	Cine	r.SSGI.Quality	4	engine
EffectsQuality	Cine	r.SSS.HalfRes	0	engine
EffectsQuality	Cine	r.SSS.Quality	1	engine
EffectsQuality	Cine	r.SSS.SampleSet	2	engine
EffectsQuality	Cine	r.SSS.Scale	1	engine
EffectsQuality	Cine	r.SceneColorFormat	4	engine
EffectsQuality	Cine	r.SkyAtmosphere.AerialPerspectiveLUT.DepthResolution	32.0	engine
EffectsQuality	Cine	r.SkyAtmosphere.AerialPerspectiveLUT.FastApplyOnOpaque	0	engine
EffectsQuality	Cine	r.SkyAtmosphere.AerialPerspectiveLUT.SampleCountMaxPerSlice	8	engine
EffectsQuality	Cine	r.SkyAtmosphere.FastSkyLUT	0	engine
EffectsQuality	Cine	r.SkyAtmosphere.FastSkyLUT.SampleCountMax	256.0	engine
EffectsQuality	Cine	r.SkyAtmosphere.FastSkyLUT.SampleCountMin	4.0	engine
EffectsQuality	Cine	r.SkyAtmosphere.MultiScatteringLUT.SampleCount	20.0	engine
EffectsQuality	Cine	r.SkyAtmosphere.SampleCountMax	256.0	engine
EffectsQuality	Cine	r.SkyAtmosphere.SampleCountMin	8.0	engine
EffectsQuality	Cine	r.SkyAtmosphere.TransmittanceLUT.SampleCount	30.0	engine
EffectsQuality	Cine	r.SkyAtmosphere.TransmittanceLUT.UseSmallFormat	0	engine
EffectsQuality	Cine	r.TranslucencyLightingVolumeDim	64	engine
EffectsQuality	Cine	r.TranslucencyVolumeBlur	1	engine
FoliageQuality	0	foliage.DensityScale	0.15	game
FoliageQuality	0	grass.DensityScale	0.2	game
FoliageQuality	1	foliage.DensityScale	0.45	game
FoliageQuality	1	grass.DensityScale	0.55	game
FoliageQuality	2	foliage.DensityScale	0.7	game
FoliageQuality	2	grass.DensityScale	0.75	game
FoliageQuality	3	foliage.DensityScale	1.0	game
FoliageQuality	3	grass.DensityScale	1.0	game
FoliageQuality	Cine	foliage.DensityScale	1.0	engine
FoliageQuality	Cine	grass.DensityScale	1.0	engine
GlobalIlluminationQuality	0	r.AOQuality	0	engine
GlobalIlluminationQuality	0	r.DistanceFieldAO	0	engine
GlobalIlluminationQuality	0	r.Lumen.DiffuseIndirect.Allow	0	engine
GlobalIlluminationQuality	0	r.RayTracing.Scene.BuildMode	0	engine
GlobalIlluminationQuality	0	r.SkylightIntensityMultiplier	0.8	engine
GlobalIlluminationQuality	1	r.AOQuality	1	engine
GlobalIlluminationQuality	1	r.DistanceFieldAO	1	engine
GlobalIlluminationQuality	1	r.Lumen.DiffuseIndirect.Allow	0	engine
GlobalIlluminationQuality	1	r.RayTracing.Scene.BuildMode	0	engine
GlobalIlluminationQuality	1	r.SkylightIntensityMultiplier	1.0	engine
GlobalIlluminationQuality	2	r.AOQuality	1	engine
GlobalIlluminationQuality	2	r.DistanceFieldAO	1	engine
GlobalIlluminationQuality	2	r.Lumen.DiffuseIndirect.Allow	1	engine
GlobalIlluminationQuality	2	r.Lumen.ScreenProbeGather.DownsampleFactor	32	engine
GlobalIlluminationQuality	2	r.Lumen.ScreenProbeGather.FullResolutionJitterWidth	1	engine
GlobalIlluminationQuality	2	r.Lumen.ScreenProbeGather.IrradianceFormat	1	engine
GlobalIlluminationQuality	2	r.Lumen.ScreenProbeGather.NumAdaptiveProbes	16	engine
GlobalIlluminationQuality	2	r.Lumen.ScreenProbeGather.RadianceCache.NumProbesToTraceBudget	100	engine
GlobalIlluminationQuality	2	r.Lumen.ScreenProbeGather.RadianceCache.ProbeResolution	16	engine
GlobalIlluminationQuality	2	r.Lumen.ScreenProbeGather.ScreenTraces.HZBTraversal.FullResDepth	1	engine
GlobalIlluminationQuality	2	r.Lumen.ScreenProbeGather.ShortRangeAO.BentNormal	0	engine
GlobalIlluminationQuality	2	r.Lumen.ScreenProbeGather.ShortRangeAO.HardwareRayTracing	0	engine
GlobalIlluminationQuality	2	r.Lumen.ScreenProbeGather.StochasticInterpolation	1	engine
GlobalIlluminationQuality	2	r.Lumen.ScreenProbeGather.TracingOctahedronResolution	8	engine
GlobalIlluminationQuality	2	r.Lumen.ScreenProbeGather.TwoSidedFoliageBackfaceDiffuse	0	engine
GlobalIlluminationQuality	2	r.Lumen.TraceMeshSDFs.Allow	0	engine
GlobalIlluminationQuality	2	r.Lumen.TranslucencyVolume.GridPixelSize	64	engine
GlobalIlluminationQuality	2	r.Lumen.TranslucencyVolume.RadianceCache.NumProbesToTraceBudget	70	engine
GlobalIlluminationQuality	2	r.Lumen.TranslucencyVolume.RadianceCache.ProbeResolution	8	engine
GlobalIlluminationQuality	2	r.Lumen.TranslucencyVolume.TraceFromVolume	0	engine
GlobalIlluminationQuality	2	r.LumenScene.DirectLighting.MaxLightsPerTile	4	engine
GlobalIlluminationQuality	2	r.LumenScene.DirectLighting.UpdateFactor	64	engine
GlobalIlluminationQuality	2	r.LumenScene.Radiosity.HemisphereProbeResolution	3	engine
GlobalIlluminationQuality	2	r.LumenScene.Radiosity.ProbeSpacing	8	engine
GlobalIlluminationQuality	2	r.LumenScene.Radiosity.UpdateFactor	128	engine
GlobalIlluminationQuality	2	r.RayTracing.Scene.BuildMode	0	engine
GlobalIlluminationQuality	2	r.SkylightIntensityMultiplier	1.0	engine
GlobalIlluminationQuality	3	r.AOQuality	2	engine
GlobalIlluminationQuality	3	r.DistanceFieldAO	1	engine
GlobalIlluminationQuality	3	r.Lumen.DiffuseIndirect.Allow	1	engine
GlobalIlluminationQuality	3	r.Lumen.ScreenProbeGather.DownsampleFactor	16	engine
GlobalIlluminationQuality	3	r.Lumen.ScreenProbeGather.FullResolutionJitterWidth	1	engine
GlobalIlluminationQuality	3	r.Lumen.ScreenProbeGather.IrradianceFormat	0	engine
GlobalIlluminationQuality	3	r.Lumen.ScreenProbeGather.NumAdaptiveProbes	8	engine
GlobalIlluminationQuality	3	r.Lumen.ScreenProbeGather.RadianceCache.NumProbesToTraceBudget	100	engine
GlobalIlluminationQuality	3	r.Lumen.ScreenProbeGather.RadianceCache.ProbeResolution	32	engine
GlobalIlluminationQuality	3	r.Lumen.ScreenProbeGather.ScreenTraces.HZBTraversal.FullResDepth	1	engine
GlobalIlluminationQuality	3	r.Lumen.ScreenProbeGather.ShortRangeAO.BentNormal	1	engine
GlobalIlluminationQuality	3	r.Lumen.ScreenProbeGather.ShortRangeAO.HardwareRayTracing	0	engine
GlobalIlluminationQuality	3	r.Lumen.ScreenProbeGather.StochasticInterpolation	0	engine
GlobalIlluminationQuality	3	r.Lumen.ScreenProbeGather.TracingOctahedronResolution	8	engine
GlobalIlluminationQuality	3	r.Lumen.ScreenProbeGather.TwoSidedFoliageBackfaceDiffuse	1	engine
GlobalIlluminationQuality	3	r.Lumen.TraceMeshSDFs.Allow	1	engine
GlobalIlluminationQuality	3	r.Lumen.TranslucencyVolume.GridPixelSize	32	engine
GlobalIlluminationQuality	3	r.Lumen.TranslucencyVolume.RadianceCache.NumProbesToTraceBudget	70	engine
GlobalIlluminationQuality	3	r.Lumen.TranslucencyVolume.RadianceCache.ProbeResolution	8	engine
GlobalIlluminationQuality	3	r.Lumen.TranslucencyVolume.TraceFromVolume	1	engine
GlobalIlluminationQuality	3	r.Lumen.TranslucencyVolume.TracingOctahedronResolution	3	engine
GlobalIlluminationQuality	3	r.LumenScene.DirectLighting.MaxLightsPerTile	8	engine
GlobalIlluminationQuality	3	r.LumenScene.DirectLighting.UpdateFactor	32	engine
GlobalIlluminationQuality	3	r.LumenScene.Radiosity.HemisphereProbeResolution	4	engine
GlobalIlluminationQuality	3	r.LumenScene.Radiosity.ProbeSpacing	4	engine
GlobalIlluminationQuality	3	r.LumenScene.Radiosity.UpdateFactor	64	engine
GlobalIlluminationQuality	3	r.RayTracing.Scene.BuildMode	1	engine
GlobalIlluminationQuality	3	r.SkylightIntensityMultiplier	1.0	engine
GlobalIlluminationQuality	Cine	r.AOQuality	2	engine
GlobalIlluminationQuality	Cine	r.DistanceFieldAO	1	engine
GlobalIlluminationQuality	Cine	r.Lumen.DiffuseIndirect.Allow	1	engine
GlobalIlluminationQuality	Cine	r.Lumen.ScreenProbeGather.DownsampleFactor	8	engine
GlobalIlluminationQuality	Cine	r.Lumen.ScreenProbeGather.FullResolutionJitterWidth	.5	engine
GlobalIlluminationQuality	Cine	r.Lumen.ScreenProbeGather.IrradianceFormat	0	engine
GlobalIlluminationQuality	Cine	r.Lumen.ScreenProbeGather.NumAdaptiveProbes	4	engine
GlobalIlluminationQuality	Cine	r.Lumen.ScreenProbeGather.RadianceCache.NumProbesToTraceBudget	350	engine
GlobalIlluminationQuality	Cine	r.Lumen.ScreenProbeGather.RadianceCache.ProbeResolution	32	engine
GlobalIlluminationQuality	Cine	r.Lumen.ScreenProbeGather.ScreenTraces.HZBTraversal.FullResDepth	1	engine
GlobalIlluminationQuality	Cine	r.Lumen.ScreenProbeGather.ShortRangeAO.BentNormal	1	engine
GlobalIlluminationQuality	Cine	r.Lumen.ScreenProbeGather.ShortRangeAO.HardwareRayTracing	0	engine
GlobalIlluminationQuality	Cine	r.Lumen.ScreenProbeGather.StochasticInterpolation	0	engine
GlobalIlluminationQuality	Cine	r.Lumen.ScreenProbeGather.TracingOctahedronResolution	16	engine
GlobalIlluminationQuality	Cine	r.Lumen.ScreenProbeGather.TwoSidedFoliageBackfaceDiffuse	1	engine
GlobalIlluminationQuality	Cine	r.Lumen.TraceMeshSDFs.Allow	1	engine
GlobalIlluminationQuality	Cine	r.Lumen.TranslucencyVolume.GridPixelSize	32	engine
GlobalIlluminationQuality	Cine	r.Lumen.TranslucencyVolume.RadianceCache.NumProbesToTraceBudget	350	engine
GlobalIlluminationQuality	Cine	r.Lumen.TranslucencyVolume.RadianceCache.ProbeResolution	16	engine
GlobalIlluminationQuality	Cine	r.Lumen.TranslucencyVolume.TraceFromVolume	1	engine
GlobalIlluminationQuality	Cine	r.Lumen.TranslucencyVolume.TracingOctahedronResolution	4	engine
GlobalIlluminationQuality	Cine	r.LumenScene.DirectLighting.MaxLightsPerTile	8	engine
GlobalIlluminationQuality	Cine	r.LumenScene.DirectLighting.UpdateFactor	32	engine
GlobalIlluminationQuality	Cine	r.LumenScene.Radiosity.HemisphereProbeResolution	4	engine
GlobalIlluminationQuality	Cine	r.LumenScene.Radiosity.ProbeSpacing	4	engine
GlobalIlluminationQuality	Cine	r.LumenScene.Radiosity.UpdateFactor	64	engine
GlobalIlluminationQuality	Cine	r.RayTracing.Scene.BuildMode	1	engine
GlobalIlluminationQuality	Cine	r.SkylightIntensityMultiplier	1.0	engine
NetworkQuality	0	ConfiguredInternetSpeed	60000	game
NetworkQuality	0	ConfiguredLanSpeed	70000	game
NetworkQuality	0	MaxClientRate	60000	game
NetworkQuality	0	MaxDynamicBandwidth	60000	game
NetworkQuality	0	MaxInternetClientRate	60000	game
NetworkQuality	0	MinDynamicBandwidth	50000	game
NetworkQuality	0	TotalNetBandwidth	240000	game
NetworkQuality	1	ConfiguredInternetSpeed	120000	game
NetworkQuality	1	ConfiguredLanSpeed	130000	game
NetworkQuality	1	MaxClientRate	120000	game
NetworkQuality	1	MaxDynamicBandwidth	120000	game
NetworkQuality	1	MaxInternetClientRate	120000	game
NetworkQuality	1	MinDynamicBandwidth	100000	game
NetworkQuality	1	TotalNetBandwidth	500000	game
NetworkQuality	2	ConfiguredInternetSpeed	200000	game
NetworkQuality	2	ConfiguredLanSpeed	220000	game
NetworkQuality	2	MaxClientRate	200000	game
NetworkQuality	2	MaxDynamicBandwidth	220000	game
NetworkQuality	2	MaxInternetClientRate	200000	game
NetworkQuality	2	MinDynamicBandwidth	200000	game
NetworkQuality	2	TotalNetBandwidth	800000	game
NetworkQuality	3	ConfiguredInternetSpeed	300000	game
NetworkQuality	3	ConfiguredLanSpeed	340000	game
NetworkQuality	3	MaxClientRate	300000	game
NetworkQuality	3	MaxDynamicBandwidth	320000	game
NetworkQuality	3	MaxInternetClientRate	300000	game
NetworkQuality	3	MinDynamicBandwidth	300000	game
NetworkQuality	3	TotalNetBandwidth	1200000	game
PoolLightQuality	0	pool.light.count	15	game
PoolLightQuality	0	pool.light.lightshaft.count	50	game
PoolLightQuality	0	pool.light.lightshaft.relevancy	4	game
PoolLightQuality	0	pool.light.relevancyMultiplier	4	game
PoolLightQuality	0	pool.light.shadowquality	0	game
PoolLightQuality	1	pool.light.count	20	game
PoolLightQuality	1	pool.light.lightshaft.count	50	game
